"address","lat","lon","id"
"1102 3rd St NW, Roseau, MN 56751, USA",48.8475559,-95.7784419,"ChIJ-xzb8g9fv1IRb7u7EoNvTd8"
"15073 Canada Ave W, Rosemount, MN 55068, USA",44.730287,-93.1322917,"ChIJ1z6t04M09ocRnnKR-KpOlVw"
"3070 Lexington Ave N, Roseville, MN 55113, USA",45.0341,-93.1474428,"ChIJNwJsc38ps1IRZm8qtY-CIJM"
"1739 Rice St, Roseville, MN 55113, USA",44.9936805,-93.1063323,"ChIJCRsXzIAqs1IRR8Y9F1ADAnQ"
"1720 Lexington Ave N, Roseville, MN 55113, USA",44.9934687,-93.1461264,"ChIJqaLDugArs1IR2xcvRkYr8sw"
"1595 Highway 36 W, Space 500, Roseville, MN 55113, United States",45.0127961,-93.1734555,"ChIJ2bhgp5Qrs1IRJB3FvgKbGFM"
"624 S Cedar St, Royalton, MN 56373, USA",45.8243448,-94.2881962,"ChIJaRNkEqo4tFIR1sGNXRPSV_Y"
"2612 County Rd 88, St Anthony, MN 55418, USA",45.0146177,-93.2194514,"EiwyNjEyIENvdW50eSBSZCA4OCwgU3QgQW50aG9ueSwgTU4gNTU0MTgsIFVTQSIbEhkKFAoSCRVKRpo2LLNSETqR3vlvq-m3ELQU"
"24 25th Ave S, St Cloud, MN 56301, USA",45.5524426,-94.1873671,"ChIJ8XSQd7pftFIR8H1_v9nD_Wo"
"611 US-10, St Cloud, MN 56304, USA",45.5601175,-94.134008,"ChIJX3jmS1lgtFIR_WXZz9RuGAA"
"4101 W Division St, St Cloud, MN 56301, USA",45.555541,-94.2089268,"ChIJEwffpwVftFIRqYg0R9_iisY"
"1312 7th Ave S, St James, MN 56081, USA",43.9784266,-94.614512,"ChIJObV5pBCT9IcRCiOerhEDciM"
"281 Central Ave E, St Michael, MN 55376, USA",45.2093856,-93.6586238,"ChIJ_SCJDKlds1IRaDcKVaEzoWM"
"450 Lexington Pkwy N, St Paul, MN 55104, USA",44.9545621,-93.1463226,"ChIJqU6bTHgq9ocROvv_BJhLg5k"
"1537 White Bear Ave, St Paul, MN 55106, USA",44.9875706,-93.0254956,"ChIJ3wUsqJzUslIR3J132UPB07s"
"1354 Maryland Ave E, St Paul, MN 55106, USA",44.9771841,-93.0433503,"ChIJP8BV6sHUslIRZS3gvOaNF4o"
"565 Earl St, St Paul, MN 55106, USA",44.9583009,-93.0559948,"ChIJNwREaYDV94cR0w9mNATCYWU"
